Dataset,Model,XAI,Noise,Cosine,Jaccard@5,Spearman,Sign Agree
UNSW-NB15,SVM,SHAP,0.01,0.7319,0.3475,0.3502,0.261
UNSW-NB15,SVM,LIME,0.01,0.3315,0.7333,0.3188,0.5617
UNSW-NB15,SVM,SHAP,0.02,0.7209,0.3802,0.3479,0.2566
UNSW-NB15,SVM,LIME,0.02,0.4475,0.8286,0.4349,0.6124
UNSW-NB15,SVM,SHAP,0.05,0.7338,0.359,0.3378,0.2461
UNSW-NB15,SVM,LIME,0.05,0.3144,0.8,0.3564,0.5726
UNSW-NB15,SVM,SHAP,0.1,0.668,0.3555,0.3228,0.2409
UNSW-NB15,SVM,LIME,0.1,0.2122,0.75,0.4124,0.592
UNSW-NB15,KNN,SHAP,0.01,0.3458,0.1952,0.1774,0.1952
UNSW-NB15,KNN,LIME,0.01,0.4163,0.7302,0.4232,0.4994
UNSW-NB15,KNN,SHAP,0.02,0.3459,0.1684,0.1497,0.1878
UNSW-NB15,KNN,LIME,0.02,0.4447,0.7079,0.5036,0.5168
UNSW-NB15,KNN,SHAP,0.05,0.3439,0.1643,0.1749,0.1868
UNSW-NB15,KNN,LIME,0.05,0.2565,0.6222,0.3873,0.5054
UNSW-NB15,KNN,SHAP,0.1,0.3609,0.2022,0.1586,0.1817
UNSW-NB15,KNN,LIME,0.1,0.2154,0.6103,0.3922,0.5202
UNSW-NB15,MLP,SHAP,0.01,0.5119,0.2629,0.299,0.231
UNSW-NB15,MLP,LIME,0.01,-0.016,0.7183,0.5073,0.5744
UNSW-NB15,MLP,SHAP,0.02,0.4869,0.2613,0.2841,0.2245
UNSW-NB15,MLP,LIME,0.02,0.5401,0.8,0.5827,0.609
UNSW-NB15,MLP,SHAP,0.05,0.4928,0.2466,0.2835,0.2226
UNSW-NB15,MLP,LIME,0.05,0.3639,0.746,0.4565,0.5341
UNSW-NB15,MLP,SHAP,0.1,0.4943,0.2491,0.2774,0.202
UNSW-NB15,MLP,LIME,0.1,0.0853,0.7587,0.3445,0.4718
NSL-KDD,SVM,SHAP,0.01,0.3973,0.1978,0.2357,0.2418
NSL-KDD,SVM,LIME,0.01,0.0395,0.6357,-0.0081,0.3793
NSL-KDD,SVM,SHAP,0.02,0.3918,0.1665,0.2393,0.2515
NSL-KDD,SVM,LIME,0.02,-0.0734,0.5873,-0.101,0.2816
NSL-KDD,SVM,SHAP,0.05,0.3831,0.1794,0.2192,0.2386
NSL-KDD,SVM,LIME,0.05,0.1808,0.746,0.138,0.4009
NSL-KDD,SVM,SHAP,0.1,0.3447,0.2025,0.1901,0.2156
NSL-KDD,SVM,LIME,0.1,-0.0397,0.696,-0.0219,0.3815
NSL-KDD,KNN,SHAP,0.01,0.2999,0.1329,0.1448,0.1942
NSL-KDD,KNN,LIME,0.01,-0.1651,0.6952,0.0873,0.3607
NSL-KDD,KNN,SHAP,0.02,0.2603,0.1321,0.1291,0.1855
NSL-KDD,KNN,LIME,0.02,0.0837,0.6032,0.0711,0.3478
NSL-KDD,KNN,SHAP,0.05,0.3273,0.1307,0.1373,0.1833
NSL-KDD,KNN,LIME,0.05,0.0819,0.6667,0.0574,0.3562
NSL-KDD,KNN,SHAP,0.1,0.1847,0.106,0.1272,0.1902
NSL-KDD,KNN,LIME,0.1,-0.1909,0.6524,0.0045,0.3202
