Dataset,Model,XAI,Noise,Cosine Sim (mean),Cosine Sim (std),Jaccard@5 (mean),Spearman (mean),Sign Agree (mean)
UNSW-NB15,RandomForest,SHAP,0.01,0.751,0.1845,0.5745,0.7252,0.8098
UNSW-NB15,RandomForest,LIME,0.01,0.5746,0.3018,0.7067,0.4466,0.4198
UNSW-NB15,RandomForest,SHAP,0.02,0.7112,0.2114,0.5473,0.6857,0.776
UNSW-NB15,RandomForest,LIME,0.02,0.5646,0.4054,0.7591,0.4207,0.4173
UNSW-NB15,RandomForest,SHAP,0.05,0.6843,0.2087,0.4906,0.6193,0.7443
UNSW-NB15,RandomForest,LIME,0.05,0.6256,0.2975,0.7341,0.4209,0.426
UNSW-NB15,RandomForest,SHAP,0.1,0.639,0.2182,0.4468,0.5383,0.7062
UNSW-NB15,RandomForest,LIME,0.1,0.6362,0.3759,0.6575,0.4,0.4047
UNSW-NB15,XGBoost,SHAP,0.01,0.6615999937057495,0.37389999628067017,0.4821,0.6183,0.7874
UNSW-NB15,XGBoost,LIME,0.01,0.7364,0.4736,0.6468,0.4234,0.4077
UNSW-NB15,XGBoost,SHAP,0.02,0.654699981212616,0.336899995803833,0.435,0.5753,0.7687
UNSW-NB15,XGBoost,LIME,0.02,0.7466,0.5291,0.7032,0.4418,0.4321
UNSW-NB15,XGBoost,SHAP,0.05,0.618399977684021,0.33500000834465027,0.3715,0.4979,0.7376
UNSW-NB15,XGBoost,LIME,0.05,0.633,0.5861,0.6476,0.3746,0.3883
UNSW-NB15,XGBoost,SHAP,0.1,0.5406000018119812,0.36419999599456787,0.3538,0.4201,0.7042
UNSW-NB15,XGBoost,LIME,0.1,0.6881,0.577,0.6909,0.317,0.3543
UNSW-NB15,DecisionTree,SHAP,0.01,0.6661,0.3315,0.4927,0.5868,0.7903
UNSW-NB15,DecisionTree,LIME,0.01,0.698,0.5788,0.3935,0.3119,0.3046
UNSW-NB15,DecisionTree,SHAP,0.02,0.6521,0.3452,0.4615,0.5499,0.7667
UNSW-NB15,DecisionTree,LIME,0.02,0.859,0.3515,0.3896,0.3237,0.3454
UNSW-NB15,DecisionTree,SHAP,0.05,0.5849,0.4027,0.455,0.4771,0.7374
UNSW-NB15,DecisionTree,LIME,0.05,0.7217,0.5609,0.3571,0.2523,0.2878
UNSW-NB15,DecisionTree,SHAP,0.1,0.5327,0.3995,0.4112,0.3954,0.6956
UNSW-NB15,DecisionTree,LIME,0.1,0.8141,0.4043,0.3763,0.2675,0.2985
UNSW-NB15,GradientBoosting,SHAP,0.01,0.8277,0.2135,0.5478,0.705,0.8537
UNSW-NB15,GradientBoosting,LIME,0.01,0.893,0.3541,0.6825,0.4634,0.4121
UNSW-NB15,GradientBoosting,SHAP,0.02,0.7638,0.2663,0.4671,0.6322,0.8198
UNSW-NB15,GradientBoosting,LIME,0.02,0.8191,0.4055,0.5571,0.4614,0.3946
UNSW-NB15,GradientBoosting,SHAP,0.05,0.7152,0.289,0.4537,0.559,0.7851
UNSW-NB15,GradientBoosting,LIME,0.05,0.8932,0.3367,0.6738,0.4491,0.422
UNSW-NB15,GradientBoosting,SHAP,0.1,0.6973,0.2668,0.3839,0.4913,0.7554
UNSW-NB15,GradientBoosting,LIME,0.1,0.784,0.5312,0.6258,0.4242,0.3785
NSL-KDD,RandomForest,SHAP,0.01,0.4026,0.4612,0.7383,0.7969,0.9148
NSL-KDD,RandomForest,LIME,0.01,0.2955,0.3124,0.394,0.2831,0.3631
NSL-KDD,RandomForest,SHAP,0.02,0.291,0.4381,0.6875,0.7613,0.893
NSL-KDD,RandomForest,LIME,0.02,0.2912,0.2971,0.4284,0.2192,0.3332
NSL-KDD,RandomForest,SHAP,0.05,0.2022,0.4165,0.6465,0.6891,0.862
NSL-KDD,RandomForest,LIME,0.05,0.2895,0.2554,0.3931,0.254,0.3428
NSL-KDD,RandomForest,SHAP,0.1,0.2932,0.409,0.6558,0.6658,0.844
NSL-KDD,RandomForest,LIME,0.1,0.2386,0.233,0.4337,0.2239,0.3403
NSL-KDD,XGBoost,SHAP,0.01,0.2906999886035919,0.45320001244544983,0.6,0.6648,0.8577
NSL-KDD,XGBoost,LIME,0.01,0.0174,0.4388,0.2851,0.0907,0.2273
